#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,14,6,2.64286,3,1,4,1,1,1960,,6394,333,632,0.466667,1361,1875,1,1,14,14450,7323,,332.667,,,0,2,3221,5415,22918,163034,1233,154204,11615,2815,47372,245006,7314,19777,102179,384,62221,68499,24491,98005
-1,20,0,1.75,,0,,2,,,,5361,,6707,0.047619,0,729,,1,19,9326,7199,,,,,0,4593,2596,6146,24745,1419,3010,566,66,147,234,37052,3076,9859,4473,43356,19889,10265,8703,15656
-1,10,10,3.4,1,2,1,2,1,186314,,29991,2914,111,1,570,1074,1,2,10,56654,27800,1,,940,3894.71,1440,82915,40256,89,494,8152,34931,1612,38,94,2112,39,483,1278,2970,23144,8,5,2549,85
-1,16,4,3,4,4,3,5,2,51499,,45346,1966,403,0.294118,1226,1069,1,1,16,98581,71268,26,,,2613,0,2684,1202,3094,2638,1462,215,1369,4357,7148,5534,9,11,106,256,1181,286,50,1481,1713
-1,0,20,,1,,1,,1,53435,,,886,,21,521,0,2,,0,,,21,177.667,865.857,3217.67,128192,25,45,14,182,27,65,967,91,10,22,81,49,52,72,20,8,2662,6,107
-1,0,20,,1,,1,,1,7623,,,3888,,21,540,0,2,,0,,,15.6,268.8,1080.25,12001.2,11405,581,992,302,1216,46,143,110,21,47,150,44,35,709,19,33,25,12,36,12
-1,3,17,1.66667,0,1,1,0,1,39515,,3865,676,498,4.5,337,1224,0,1,2,12736,847,10.4,253,641.667,2061,22,554077,186113,44,3961,2980,2418,1523,4917,8,1116,5977,131,15128,10653,132099,12,1375,35800,20319
-1,15,5,4.33333,0,3,0,4,1,226,,9960,399,457,0.375,162,383,1,0,15,33071,10797,,399,,,41,53,1314,0,181,97,1011,182,55,262,60838,26941,11500,7339,9,1042,286,14,1754,1179
-1,12,8,1.75,1,2,2,3,1,446537,,1745,1344,28800,0.692308,361,526,0,1,12,2139,816,,254.75,767.5,4097,1611,13073,87724,11044,8943,5797,35901,2967,2596,3459,2591,8665,5700,9750,4193,10473,8879,39,5510,8424
-1,3,17,12,11,18,30,19,5,5181,,8298,10227,5,4.5,997,1659,1,1,3,45944,5126,,434,1189.8,15224.6,4861,3136,1243,21231,1826,91,3006,8487,1500,1495,6987,6041,4022,988,9,346,2992,10144,1570,53
